,fecha,departamento,municipio,dosis,vacunacion
21,2021-10-23,Santa Cruz,Mineros,1,58%
22,2021-10-23,Santa Cruz,Quirusillas,1,58%
23,2021-10-23,Santa Cruz,Gutierrez,1,61%
24,2021-10-23,Santa Cruz,Comarapa,1,63%
25,2021-10-23,Santa Cruz,Postrer Valle,1,63%
26,2021-10-23,Santa Cruz,San Javier(Stc),1,64%
27,2021-10-23,Santa Cruz,Trigal,1,66%
28,2021-10-23,Santa Cruz,Buena Vista,1,67%
29,2021-10-23,Santa Cruz,El Torno,1,67%
30,2021-10-23,Santa Cruz,Montero,1,67%
31,2021-10-23,Santa Cruz,Cuevo,1,69%
32,2021-10-23,Santa Cruz,San Rafael,1,69%
33,2021-10-23,Santa Cruz,Carmen Rivero Torrez,1,70%
34,2021-10-23,Santa Cruz,Puerto Suarez,1,71%
35,2021-10-23,Santa Cruz,Concepcion,1,72%
36,2021-10-23,Santa Cruz,Boyuibe,1,73%
37,2021-10-23,Santa Cruz,Porongo,1,73%
38,2021-10-23,Santa Cruz,San Ignacio De Velasco,1,74%
39,2021-10-23,Santa Cruz,San Ramon,1,74%
40,2021-10-23,Santa Cruz,Samaipata,1,75%
41,2021-10-23,Santa Cruz,San Miguel De Velasco,1,75%
42,2021-10-23,Santa Cruz,Okinawa,1,77%
43,2021-10-23,Santa Cruz,Santa Cruz de la Sierra,1,78%
44,2021-10-23,Santa Cruz,Pucara,1,79%
45,2021-10-23,Santa Cruz,Portachuelo,1,80%
46,2021-10-23,Santa Cruz,Puerto Quijarro,1,84%
47,2021-10-23,Santa Cruz,Moro Moro,1,85%
48,2021-10-23,Santa Cruz,San Matias,1,85%
49,2021-10-23,Santa Cruz,Vallegrande,1,85%
50,2021-10-23,Santa Cruz,General Saavedra,1,86%
51,2021-10-23,Santa Cruz,Lagunillas,1,87%
52,2021-10-23,Santa Cruz,Robore,1,87%
53,2021-10-23,Santa Cruz,Colpa Belgica,1,93%
54,2021-10-23,Santa Cruz,Cotoca,1,93%
55,2021-10-23,Santa Cruz,Camiri,1,95%
0,2021-10-23,La Paz,Aucapata,2,9%
1,2021-10-23,La Paz,Caquiaviri,2,9%
2,2021-10-23,La Paz,Ancoraimes,2,10%
3,2021-10-23,La Paz,Tito Yupanqui (Parquipujio),2,11%
4,2021-10-23,La Paz,Calacoto,2,12%
5,2021-10-23,La Paz,Gral. J.J. Perez (Charazani),2,14%
6,2021-10-23,La Paz,Humanata,2,14%
7,2021-10-23,La Paz,Apolo,2,15%
8,2021-10-23,La Paz,Curva,2,15%
9,2021-10-23,La Paz,Sorata,2,15%
10,2021-10-23,La Paz,Combaya,2,16%
11,2021-10-23,La Paz,Santiago De Callapa,2,16%
12,2021-10-23,La Paz,Mapiri,2,18%
13,2021-10-23,La Paz,Pelechuco,2,18%
14,2021-10-23,La Paz,Catacora,2,19%
15,2021-10-23,La Paz,Sapahaqui,2,19%
16,2021-10-23,La Paz,Charaña,2,20%
17,2021-10-23,La Paz,Sica Sica (Villa Aroma),2,20%
18,2021-10-23,La Paz,La Asunta,2,21%
19,2021-10-23,La Paz,Puerto Carabuco,2,21%
20,2021-10-23,La Paz,Licoma Pampa,2,22%
21,2021-10-23,La Paz,Mecapaca,2,22%
22,2021-10-23,La Paz,Ayata,2,23%
23,2021-10-23,La Paz,Batallas,2,23%
24,2021-10-23,La Paz,Comanche,2,23%
25,2021-10-23,La Paz,Mocomoco,2,23%
26,2021-10-23,La Paz,Cairoma,2,24%
27,2021-10-23,La Paz,Chacarilla,2,24%
28,2021-10-23,La Paz,Chuma,2,24%
29,2021-10-23,La Paz,Pucarani,2,24%
30,2021-10-23,La Paz,Teoponte,2,24%
31,2021-10-23,La Paz,Alto Beni,2,25%
32,2021-10-23,La Paz,Chulumani (V. De La Libertad),2,26%
33,2021-10-23,La Paz,Colquencha,2,26%
34,2021-10-23,La Paz,Ichoca,2,26%
35,2021-10-23,La Paz,Malla,2,26%
36,2021-10-23,La Paz,San Andres De Machaca,2,26%
37,2021-10-23,La Paz,Santiago De Huata,2,26%
38,2021-10-23,La Paz,Copacabana,2,27%
39,2021-10-23,La Paz,Guanay,2,27%
40,2021-10-23,La Paz,Inquisivi,2,27%
41,2021-10-23,La Paz,Ixiamas,2,27%
42,2021-10-23,La Paz,Tacacoma,2,27%
43,2021-10-23,La Paz,Taraco,2,27%
44,2021-10-23,La Paz,Waldo Ballivian,2,27%
45,2021-10-23,La Paz,Caranavi,2,28%
46,2021-10-23,La Paz,Coro Coro,2,28%
47,2021-10-23,La Paz,Jesus De Machaca,2,28%
48,2021-10-23,La Paz,San Pedro De Curahuara,2,29%
49,2021-10-23,La Paz,Santiago De Machaca,2,29%
50,2021-10-23,La Paz,Tiawanacu,2,29%
51,2021-10-23,La Paz,Coripata,2,30%
52,2021-10-23,La Paz,Palos Blancos,2,30%
53,2021-10-23,La Paz,Patacamaya,2,30%
54,2021-10-23,La Paz,Puerto Perez,2,30%
55,2021-10-23,La Paz,Ayo Ayo,2,31%
56,2021-10-23,La Paz,Coroico,2,31%
57,2021-10-23,La Paz,Irupana (Villa De Lanza),2,31%
58,2021-10-23,La Paz,Papel Pampa,2,31%
59,2021-10-23,La Paz,Quiabaya,2,31%
60,2021-10-23,La Paz,Achacachi,2,32%
61,2021-10-23,La Paz,Huarina ,2,33%
62,2021-10-23,La Paz,Cajuata,2,34%
63,2021-10-23,La Paz,Chua Cocani,2,34%
64,2021-10-23,La Paz,Luribay,2,34%
65,2021-10-23,La Paz,Colquiri,2,35%
66,2021-10-23,La Paz,Palca,2,35%
67,2021-10-23,La Paz,Yaco,2,35%
68,2021-10-23,La Paz,El Alto,2,36%
69,2021-10-23,La Paz,Escoma,2,36%
70,2021-10-23,La Paz,Tipuani,2,36%
71,2021-10-23,La Paz,Calamarca,2,37%
72,2021-10-23,La Paz,Huatajata,2,37%
73,2021-10-23,La Paz,Laja,2,37%
74,2021-10-23,La Paz,Yanacachi,2,37%
75,2021-10-23,La Paz,Desaguadero,2,38%
76,2021-10-23,La Paz,Umala,2,38%
77,2021-10-23,La Paz,Guaqui,2,39%
78,2021-10-23,La Paz,Nazacara De Pacajes,2,39%
79,2021-10-23,La Paz,San Pedro De Tiquina,2,39%
80,2021-10-23,La Paz,Collana,2,40%
81,2021-10-23,La Paz,Puerto Acosta,2,40%
82,2021-10-23,La Paz,San Buena Ventura,2,40%
83,2021-10-23,La Paz,Quime,2,42%
84,2021-10-23,La Paz,Viacha,2,47%
85,2021-10-23,La Paz,Achocalla,2,63%
86,2021-10-23,La Paz,La Paz,2,89%
0,2021-10-23,Oruro,Cruz De Machacamarca,2,6%
1,2021-10-23,Oruro,Escara,2,9%
2,2021-10-23,Oruro,El Choro,2,16%
3,2021-10-23,Oruro,Todos Santos,2,16%
4,2021-10-23,Oruro,Chipaya,2,17%
5,2021-10-23,Oruro,Esmeralda,2,18%
6,2021-10-23,Oruro,Carangas,2,22%
7,2021-10-23,Oruro,Santiago De Huari,2,23%
8,2021-10-23,Oruro,Salinas De Garci Mendoza,2,25%
9,2021-10-23,Oruro,Toledo,2,25%
10,2021-10-23,Oruro,La Rivera,2,30%
11,2021-10-23,Oruro,Corque,2,37%
12,2021-10-23,Oruro,Santuario De Quillacas,2,38%
13,2021-10-23,Oruro,Andamarca,2,39%
14,2021-10-23,Oruro,Coipasa,2,39%
15,2021-10-23,Oruro,Sabaya,2,39%
16,2021-10-23,Oruro,Challapata,2,41%
17,2021-10-23,Oruro,Choque Cota,2,41%
18,2021-10-23,Oruro,Belen De Andamarca,2,42%
19,2021-10-23,Oruro,Turco,2,43%
20,2021-10-23,Oruro,Yunguyo De Litoral,2,44%
21,2021-10-23,Oruro,Pampa Aullagas,2,45%
22,2021-10-23,Oruro,Poopo,2,45%
23,2021-10-23,Oruro,Caracollo,2,46%
24,2021-10-23,Oruro,Eucaliptus,2,46%
25,2021-10-23,Oruro,Pazña,2,47%
26,2021-10-23,Oruro,Totora(Orr),2,48%
27,2021-10-23,Oruro,Soracachi,2,50%
28,2021-10-23,Oruro,Huanuni,2,58%
29,2021-10-23,Oruro,Huayllamarca,2,58%
30,2021-10-23,Oruro,Curahuara De Carangas,2,61%
31,2021-10-23,Oruro,Machacamarca,2,61%
32,2021-10-23,Oruro,Oruro,2,63%
33,2021-10-23,Oruro,Antequera,2,80%
34,2021-10-23,Oruro,Huachacalla,2,95%
0,2021-10-23,Potosí,San Pedro De Buena Vista,2,8%
1,2021-10-23,Potosí,Tinguipaya,2,11%
2,2021-10-23,Potosí,Acacio,2,12%
3,2021-10-23,Potosí,Colquechaca,2,13%
4,2021-10-23,Potosí,Chuquihuta Ayllu Jucumani,2,15%
5,2021-10-23,Potosí,Belen De Urmiri,2,16%
6,2021-10-23,Potosí,Toro Toro,2,16%
7,2021-10-23,Potosí,Pocoata,2,18%
8,2021-10-23,Potosí,Ravelo,2,18%
9,2021-10-23,Potosí,San Antonio De Esmoruco,2,20%
10,2021-10-23,Potosí,Ckochas,2,22%
