,fecha,cod_ine,municipio,departamento,dosis,porcentaje
1791,2022-01-22,40602,Pazña,Oruro,2,52
1806,2022-01-22,41101,Eucaliptus,Oruro,1,59
1807,2022-01-22,41101,Eucaliptus,Oruro,2,50
1822,2022-01-22,41301,Totora(Orr),Oruro,1,58
1823,2022-01-22,41301,Totora(Orr),Oruro,2,53
1838,2022-01-22,40104,Soracachi,Oruro,1,62
1839,2022-01-22,40104,Soracachi,Oruro,2,53
1853,2022-01-22,41601,Huayllamarca,Oruro,1,66
1854,2022-01-22,41601,Huayllamarca,Oruro,2,63
1868,2022-01-22,40701,Huanuni,Oruro,1,75
1869,2022-01-22,40701,Huanuni,Oruro,2,61
1883,2022-01-22,40702,Machacamarca,Oruro,1,73
1884,2022-01-22,40702,Machacamarca,Oruro,2,64
1898,2022-01-22,40401,Curahuara De Carangas,Oruro,1,72
1899,2022-01-22,40401,Curahuara De Carangas,Oruro,2,67
1913,2022-01-22,40101,Oruro,Oruro,1,96
1914,2022-01-22,40101,Oruro,Oruro,2,78
1929,2022-01-22,40603,Antequera,Oruro,1,95
1930,2022-01-22,40603,Antequera,Oruro,2,85
1945,2022-01-22,40501,Huachacalla,Oruro,1,110
1946,2022-01-22,40501,Huachacalla,Oruro,2,100
1961,2022-01-22,50501,San Pedro De Buena Vista,Potosí,1,18
1962,2022-01-22,50501,San Pedro De Buena Vista,Potosí,2,11
1977,2022-01-22,50102,Tinguipaya,Potosí,1,18
1978,2022-01-22,50102,Tinguipaya,Potosí,2,14
1993,2022-01-22,50204,Chuquihuta Ayllu Jucumani,Potosí,1,28
1994,2022-01-22,50204,Chuquihuta Ayllu Jucumani,Potosí,2,21
2009,2022-01-22,50401,Colquechaca,Potosí,1,27
2010,2022-01-22,50401,Colquechaca,Potosí,2,20
2025,2022-01-22,51302,Acasio,Potosí,1,28
2026,2022-01-22,51302,Acasio,Potosí,2,18
2041,2022-01-22,50104,Belen De Urmiri,Potosí,1,28
2042,2022-01-22,50104,Belen De Urmiri,Potosí,2,23
2057,2022-01-22,50403,Pocoata,Potosí,1,28
2058,2022-01-22,50403,Pocoata,Potosí,2,21
2073,2022-01-22,50402,Ravelo,Potosí,1,34
2074,2022-01-22,50402,Ravelo,Potosí,2,27
2089,2022-01-22,50502,Toro Toro,Potosí,1,35
2090,2022-01-22,50502,Toro Toro,Potosí,2,23
2105,2022-01-22,51002,Mojinete,Potosí,1,25
2106,2022-01-22,51002,Mojinete,Potosí,2,24
2121,2022-01-22,51003,San Antonio De Esmoruco,Potosí,1,29
2122,2022-01-22,51003,San Antonio De Esmoruco,Potosí,2,24
2137,2022-01-22,50202,Chayanta,Potosí,1,38
2138,2022-01-22,50202,Chayanta,Potosí,2,28
2153,2022-01-22,51103,Ckochas,Potosí,1,34
2154,2022-01-22,51103,Ckochas,Potosí,2,28
2169,2022-01-22,50404,Ocuri,Potosí,1,35
2170,2022-01-22,50404,Ocuri,Potosí,2,30
2185,2022-01-22,51101,Puna,Potosí,1,37
2186,2022-01-22,51101,Puna,Potosí,2,29
2201,2022-01-22,50303,Tacobamba,Potosí,1,37
